Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
BANK,JH291,BMO GLOBAL BANKS HEDGED TO CAD INDEX ETF,535700,20.81849,0.3602,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
SALMAR ASA,SALM NO,31,61.87,136,B1W5NW2
US FOODS HOLDING CORP,USFD US,106,52.68,464,BYVFC94
TREASURY WINE ESTATES LTD,TWE AU,363,18.36,1587,B61JC67
UNILEVER NV,UNA NA,724,74.99,3165,B12T3J1
KERRY GROUP PLC,KYG ID,62,142.37,272,4519579

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
AUD,-120000,-1.3737999171867107246731776737,0.97186,20180208
CAD,8305906.18,97.84205220097363836642473299,1.00000,20180208
CHF,-514800,-7.978066169810097987519036846,1.31559,20180208
DKK,-131000,-0.3168253554240157089980995563,0.20531,20180208
EUR,-663400,-11.954818253949747502279821547,1.52978,20180208
GBP,-683700,-13.855378660469807714341612882,1.72034,20180208
HKD,-991400,-1.9401509097001719187676328027,0.16613,20180208
JPY,-65041000,-9.002509919651107274202309246,0.01175,20180208
NOK,-352000,-0.6648490841448738634604628623,0.16034,20180208
SEK,-588000,-1.0315684421279016095994527191,0.14893,20180208
SGD,-19000,-0.2147676152271776815540834148,0.95957,20180208
USD,-3136600,-48.159878522760805715666005892,1.30343,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
WOMN,FC941,BMO WOMEN IN LEADERSHIP FUND,100000,20.80809,0.20692,0,1.30355,0.35,50000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
CHILDRENS PLACE INC,PLCE US,2,163.14,74,2106791
IRONWOOD PHARMACEUTICALS INC,IRWD US,19,24.98,647,B3MZ6K5
CANADIAN NATIONAL RAILWAY CO,CNR,89,116.74,2982,2180632
PRINCIPAL FINANCIAL GROUP INC,PFG US,34,71.72,1148,2803014
SPIRE INC,SR US,6,93.99,206,BYXJQG9
ABBOTT LABORATORIES,ABT US,208,85.03,6956,2002305
HP INC,HPQ US,192,30.36,6416,BYX4D52
FREEPORT-MCMORAN INC,FCX US,171,20.67,5730,2352118
WELLS FARGO & CO,WFC US,575,75.91,19211,2649100
CONSOLIDATED EDISON INC,ED US,39,100.88,1305,2216850
ENCOMPASS HEALTH CORPORATION,EHC US,12,91.80,402,BYX2YJ7
REPUBLIC SERVICES INC,RSG US,39,92.02,1313,2262530
PATTERSON UTI ENERGY INC,PTEN US,29,21.10,987,2672537
CENTURYLINK INC,CTL US,135,23.80,4514,2185046
SCHLUMBERGER NV,SLB US,167,85.75,5589,2779201
KOHLS CORP,KSS US,19,96.29,643,2496113
ULTA BEAUTY INC,ULTA US,7,330.31,261,B28TS42
CANADIAN IMPERIAL BANK OF COMMERCE,CM,53,117.32,1801,2170525
CABLE ONE INC,CABO US,0,929.33,25,BZ07DS4
KINROSS GOLD CORP,KGC US,151,4.80,5038,B04NVW3
GENERAL MILLS INC,GIS US,71,56.77,2376,2367026
EBAY INC,EBAY US,116,44.18,3881,2293819
VARIAN MEDICAL SYSTEMS INC,VAR US,10,155.21,364,2927516
PEPSICO INC,PEP US,171,150.18,5731,2681511
BLACKLINE INC,BL US,6,62.47,208,BD3WZS6
INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF US,9,168.34,314,2464165
NUCOR CORP,NUE US,37,88.62,1261,2651086
PEMBINA PIPELINE CORP,PPL,61,46.22,2039,B4PT2P8
CRACKER BARREL OLD COUNTRY STORE INC,CBRL US,3,189.41,101,2231091
TEXAS INSTRUMENTS INC,TXN US,114,147.59,3818,2885409
ALLIANT ENERGY CORP,LNT US,29,54.91,975,2973821
CBRE GROUP INC,CBRE US,40,64.33,1366,B6WVMH3
DUN & BRADSTREET CORP,DNB US,4,168.72,142,2636254
FRONTIER COMMUNICATIONS CORP,FTR US,7,6.13,264,BF0HZC2
MARATHON OIL CORP,MRO US,104,27.61,3499,2910970
ROYAL BANK OF CANADA,RY,172,100.88,5755,2754383
TORCHMARK CORP,TMK US,13,109.33,455,2896713
UNITED THERAPEUTICS CORP,UTHR US,5,161.99,179,2430412
NEWMONT MINING CORP,NEM US,65,48.84,2178,2636607
INTUIT INC,INTU US,30,283.20,1016,2459020
ALTRIA GROUP INC,MO US,231,75.41,7727,2692632
CASEYS GENERAL STORES INC,CASY US,4,140.68,161,2179414
ENTERGY CORP,ETR US,22,103.31,754,2317087
BANK OF MONTREAL,BMO,77,103.86,2594,2076009
YAMANA GOLD INC,AUY US,125,3.65,4181,2237646
AVISTA CORP,AVA US,7,65.52,259,2942605
YUM CHINA HOLDINGS INC,YUMC US,46,42.10,1543,BYW4289
AMETEK INC,AME US,27,98.18,915,2089212
COLGATE-PALMOLIVE CO,CL US,107,85.97,3600,2209106
QUEST DIAGNOSTICS INC,DGX US,16,140.34,540,2702791
NASDAQ INC,NDAQ US,20,122.68,669,2965107
NEXTERA ENERGY INC,NEE US,60,218.67,2012,2328915
LOUISIANA-PACIFIC CORP,LPX US,16,34.32,567,2535243
BALL CORP,BLL US,42,49.69,1414,2073022
BEMIS COMPANY INC,BMS US,11,55.87,389,2090173
ZYNGA INC,ZNGA US,90,5.51,3031,B79PX49
VIACOM INC,VIAB US,43,36.34,1441,B0SRLF4
IMPERIAL OIL LTD,IMO,100,43.33,3353,2454241
ETSY INC,ETSY US,15,56.03,525,BWTN5N1
ALCOA CORP,AA US,22,56.20,755,BYNF418
BLACK HILLS CORP,BKH US,6,77.94,220,2101741
GENERAL DYNAMICS CORP,GD US,35,265.21,1197,2365161
ALLETE INC COM NEW,ALE US,6,100.36,211,B02R1L6
SEMPRA ENERGY,SRE US,33,150.52,1114,2138158
INGREDION INC,INGR US,8,127.84,298,B7K24P7
WYNN RESORTS LTD,WYNN US,15,216.13,523,2963811
HEWLETT PACKARD ENTERPRISE CO,HPE US,179,20.18,5990,BYVYWS0
HERSHEY CO,HSY US,17,121.01,587,2422806
OIL STATES INTERNATIONAL INC,OIS US,8,42.82,277,2724472
ALLEGHENY TECHNOLOGIES INC,ATI US,14,37.26,495,2526117
HOLOGIC INC,HOLX US,32,54.75,1095,2433530
PREMIER INC,PINC US,7,48.70,244,BDZDRC5
KELLOGG CO,K US,42,92.36,1421,2486813
DUKE ENERGY CORP,DUK US,88,104.52,2940,B7VD3F2
LENNOX INTERNATIONAL INC,LII US,4,267.66,161,2442053
ORACLE CORP,ORCL US,484,63.81,16165,2661568
SPLUNK INC,SPLK US,16,135.62,566,B424494
ROSS STORES INC,ROST US,43,114.01,1466,2746711
OCCIDENTAL PETROLEUM CORP,OXY US,92,109.93,3074,2655408
TWITTER INC,TWTR US,84,57.64,2815,BFLR866
ESTEE LAUDER COMPANIES INC,EL US,27,184.47,906,2320524
J M SMUCKER CO,SJM US,13,141.46,463,2951452
COMMERCIAL METALS CO,CMC US,13,29.41,460,2213260
FORTIS INC,FTS,51,42.27,1707,2347200
NATIONAL BANK OF CANADA,NA,41,63.59,1370,2077303
PROGRESSIVE CORP,PGR US,70,77.59,2337,2705024
REALOGY HOLDINGS CORP,RLGY US,14,29.36,475,B5T0CW1
SUNCOR ENERGY INC,SU,197,53.11,6577,B3NB1P2
VULCAN MATERIALS CO,VMC US,15,157.08,530,2931205
PORTLAND GENERAL ELECTRIC CO,POR US,11,58.41,394,B125XQ6
BUNGE LTD,BG US,16,88.76,567,2788713
IDEXX LABORATORIES INC,IDXX US,10,327.36,334,2459202
CONOCOPHILLIPS,COP US,141,93.22,4704,2685717
BCE INC,BCE,108,54.82,3623,B188TH2
NUTRI SYSTEM INC,NTRI US,4,54.10,142,2620398
OWENS CORNING,OC US,13,77.85,460,B1FW7Q2
AUTODESK INC,ADSK US,25,177.09,854,2065159
EVERSOURCE ENERGY,ES US,39,77.35,1334,BVVN4Q8
STRYKER CORP,SYK US,44,221.58,1489,2853688
AGIOS PHARMACEUTICALS INC,AGIO US,6,110.80,226,BCBVTX1
HERTZ GLOBAL HOLDINGS INC,HTZ US,9,18.65,313,BZBYZY4
UNITED NATURAL FOODS INC,UNFI US,6,53.68,221,2895163
ARCHROCK INC,AROC US,15,16.69,526,BYRGSX7
TRANSCANADA CORP,TRP,108,58.29,3624,2665184
AXALTA COATING SYSTEMS,AXTA US,29,38.91,987,BSFWCF5
NAVIENT CORP,NAVI US,28,17.17,961,BLP5GX1
AVANOS MEDICAL INC,AVNS US,5,74.09,185,BFFVV54
JACK HENRY & ASSOCIATES INC,JKHY US,9,180.36,308,2469193
BANK OF AMERICA CORPORATION,BAC US,1203,40.50,40158,2295677
PHILLIPS 66,PSX US,55,146.45,1857,B78C4Y8
AMERICAN WATER WORKS COMPANY INC,AWK US,22,114.09,745,B2R3PV1
CANADIAN PACIFIC RAILWAY LTD,CP US,18,253.05,602,2793104
SOUTH JERSEY INDUSTRIES INC,SJI US,10,43.63,352,2825933
UNITED PARCEL SERVICE INC,UPS US,82,156.69,2754,2517382
VOYA FINANCIAL,VOYA US,19,65.39,655,BKWQ2N2
CAMECO CORP,CCJ US,46,14.23,1540,2158684
ILLUMINA INC,ILMN US,17,411.70,575,2613990
SYNCHRONY FINANCIAL,SYF US,89,43.59,2987,BP96PS6
VERIZON COMMUNICATIONS INC,VZ US,498,66.36,16613,2090571
PITNEY BOWES INC,PBI US,22,11.31,758,2690506
MANULIFE FINANCIAL CORP,MFC,237,23.89,7912,2492519
CMS ENERGY CORP,CMS US,35,62.41,1199,2219224
GENERAL MOTORS CO,GM US,166,49.08,5564,B665KZ5
TUPPERWARE BRANDS CORP,TUP US,6,44.44,229,2872069
CLOROX CO,CLX US,15,169.87,521,2204026
ALASKA AIR GROUP INC,ALK US,14,77.05,477,2012605
ROGERS COMMUNICATIONS INC,RCI/B,48,64.76,1616,2169051
PROCTER & GAMBLE CO,PG US,300,103.59,10010,2704407
CABOT OIL & GAS CORP,COG US,55,32.55,1858,2162340
METHANEX CORP,MEOH US,10,91.31,358,2578378
FEDEX CORP,FDX US,31,313.16,1061,2142784
LOBLAW COMPANIES LTD,L,46,68.53,1556,2521800
VALERO ENERGY CORP,VLO US,51,142.52,1717,2041364
UNITED TECHNOLOGIES CORP,UTX US,95,175.65,3198,2915500
SLEEP NUMBER CORPORATION,SNBR US,4,40.38,151,BF4HN46
MANPOWERGROUP INC,MAN US,7,121.10,253,2562490
ZENDESK INC,ZEN US,12,79.02,425,BMH0MR7
AGNICO EAGLE MINES LTD,AEM US,27,58.45,915,2009834
COCA-COLA CO,KO US,513,60.08,17124,2206657
BROWN-FORMAN CORP,BF/B US,39,71.51,1324,2146838
HUBSPOT INC,HUBS US,4,176.37,153,BR4T3B3
AT&T INC,T US,736,39.43,24552,2831811
MCKESSON CORP,MCK US,24,173.83,808,2378534
WEX INC,WEX US,4,258.94,166,B8383P2
SUN LIFE FINANCIAL INC,SLF,73,53.35,2440,2566124
ABERCROMBIE & FITCH CO,ANF US,9,31.52,324,2004185
CHEVRON CORP,CVX US,234,162.81,7825,2838555
USG CORP,USG US,17,56.07,592,2910602
BROOKDALE SENIOR LIVING INC,BKD US,21,12.03,732,B0PZN33
EDISON INTERNATIONAL,EIX US,44,87.12,1486,2829515
VERTEX PHARMACEUTICALS INC,VRTX US,32,230.48,1075,2931034
ITT INC,ITT US,10,70.56,360,BZBY209
JONES LANG LASALLE INC,JLL US,5,220.55,180,2040640
ARISTA NETWORKS INC,ANET US,8,357.58,284,BN33VM5
WALMART INC,WMT US,351,114.58,11709,2936921
CHESAPEAKE ENERGY CORP,CHK US,111,5.75,3722,2182779
NORTHWESTERN CORP,NWE US,6,77.20,229,B03PGL4
REINSURANCE GROUP OF AMERICA INC,RGA US,9,181.08,311,2731193
WILLIAMS SONOMA INC,WSM US,9,78.49,311,2967589
PPG INDUSTRIES INC,PPG US,29,142.45,990,2698470
WEIGHT WATCHERS INTERNATIONAL INC,WTW US,7,120.49,249,2813585
CHICO'S FAS INC,CHS US,16,11.47,541,2196781
DOMTAR CORP,UFS US,7,62.06,245,B1T84Z4
KEYCORP,KEY US,126,27.19,4204,2490911
ECOLAB INC,ECL US,34,184.58,1154,2304227
SANDERSON FARMS INC,SAFM US,2,126.91,88,2774336
OMNICOM GROUP INC,OMC US,27,88.38,910,2279303
INTERNATIONAL BUSINESS MACHINES CORP,IBM US,108,191.13,3613,2005973
LOCKHEED MARTIN CORP,LMT US,34,422.82,1142,2522096
ADVANCED MICRO DEVICES INC,AMD US,107,20.92,3576,2007849
EXXON MOBIL CORPORATION,XOM US,473,108.96,15779,2326618
GRACO INC,GGG US,19,62.86,649,2380443
TORONTO-DOMINION BANK,TD,224,76.88,7499,2897222
CIT GROUP INC,CIT US,15,69.10,515,B4Z73G0
TAYLOR MORRISON HOME CORP,TMHC US,13,26.20,440,B832462
ZAYO GROUP HLDGS INC,ZAYO US,30,48.26,1015,BRJ3H07
AMN HEALTHCARE SERVICES INC,AMN US,6,79.97,207,2813552
IDACORP INC,IDA US,6,122.05,218,2296937
ROPER TECHNOLOGIES INC,ROP US,12,376.19,410,2749602
TESARO INC,TSRO US,6,46.41,224,B8BJ9G0
CAMPBELL SOUP CO,CPB US,37,52.43,1235,2162845
EDITAS MEDICINE INC,EDIT US,5,41.48,184,BZ8FPH3
BLOOMIN BRANDS INC,BLMN US,11,26.25,371,B847RJ0
PG&E CORP,PCG US,64,56.04,2168,2689560
ASHLAND GLOBAL HOLDINGS,ASH US,7,106.63,259,BYND5N1
MSCI INC,MSCI US,10,229.75,358,B2972D2
ANTHEM INC,ANTM US,30,323.19,1019,BSPHGL4
ENBRIDGE INC,ENB,206,45.56,6877,2466149

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZAG,JH217,BMO AGGREGATE BOND INDEX ETF,229570521,15.29529,-0.11486,0,1.30355,0.08,100000,0.05

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
BMO Mid Provincial Bond Index ETF,ZMP,9000,14.63,17423811,B9M2341
BMO Long Provincial Bond Index ETF,ZPL,17000,15.65,34243225,B8K4DP3
BMO Long Corporate Bond Index ETF,ZLC,7000,18.16,12854816,B3MNMF6
BMO Short Federal Bond Index ETF,ZFS,24000,14.08,47426106,B5836G3
BMO Mid Corporate Bond Index ETF,ZCM,6000,15.84,11392861,B633XS6
BMO Mid Federal Bond Index ETF,ZFM,7000,15.78,14097519,B520FF2
BMO Short Corporate Bond Index ETF,ZCS,17000,13.97,32677115,B55YMV6
BMO Short Provincial Bond Index ETF,ZPS,10000,13.28,18921682,B566Q20
BMO Long Federal Bond Index ETF,ZFL,6000,17.09,11656222,B544DW5

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZBK,JH265,BMO EQUAL WEIGHT US BANKS INDEX ETF,40312800,28.36818,0.0191,0,1.30355,0.35,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
REGIONS FINANCIAL CORP,RF US,6064,23.84,2444515,B01R311
BANK OF AMERICA CORPORATION,BAC US,3727,40.50,1502451,2295677
HUNTINGTON BANCSHARES INC,HBAN US,7390,19.68,2979292,2445966
KEYCORP,KEY US,5505,27.19,2219365,2490911
COMERICA INC,CMA US,1193,125.27,481007,2212870
U.S. BANCORP,USB US,2206,67.29,889291,2736035
SUNTRUST BANKS INC,STI US,1674,94.36,674774,2860990
CITIZENS FINANCIAL GROUP INC,CFG US,2636,52.04,1062676,BQRX1X3
M&T BANK CORP,MTB US,620,224.48,249826,2340168
WELLS FARGO & CO,WFC US,2094,75.91,844177,2649100
FIRST REPUBLIC BANK,FRC US,1235,129.17,497670,B4WHY15
PNC FINANCIAL SERVICES GROUP INC,PNC US,751,186.03,302592,2692665
JPMORGAN CHASE & CO,JPM US,1033,150.14,416486,2190385
ZIONS BANCORPORATION,ZION US,2138,67.16,861814,2989828
SVB FINANCIAL GROUP,SIVB US,450,405.09,181587,2808053
BB&T CORP,BBT US,2176,66.06,877329,2830904
CITIGROUP INC,C US,1602,93.49,645858,2297907
AMERIPRISE FINANCIAL INC,AMP US,757,189.34,305123,B0J7D57
FIFTH THIRD BANCORP,FITB US,3564,38.15,1436926,2336747

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZCH,JH222,BMO CHINA EQUITY INDEX ETF,4967509,27.90486,0.04276,0,1.30355,0.65,50000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
CHEETAH MOBILE INC,CMCM US,343,11.94,34075,BM67GG6
SOGOU INC,SOGO US,423,14.26,42002,BF3BGN9
JUPAI HOLDINGS,JP US,153,23.84,15162,BY7QKC0
ALUMINUM CORP OF CHINA LTD,ACH US,813,14.86,80776,2824628
MOMO INC,MOMO US,289,56.27,28707,BSS6HX7
BAOZUN INC,BZUN US,159,82.87,15796,BY2ZJ69
ZTO EXPRESS (CAYMAN) INC,ZTO US,956,27.41,94998,BYYDFN0
WEIBO CORP,WB US,190,116.95,18841,BLLJ4H7
BEIGENE LTD,BGNE US,142,229.57,14142,BYYWPW6
BAIDU INC,BIDU US,380,342.72,37770,B0FXT17
CHINA SOUTHERN AIRLINES CO LTD,ZNH US,202,47.68,20103,2085050
CHINA LIFE INSURANCE CO,LFC US,3268,16.92,324662,2196963
BEST INC,BSTI US,409,13.71,40674,BF16M83
TUNIU CORP,TOUR US,658,10.43,65333,BM69156
HUANENG POWER INTERNATIONAL INC,HNP US,476,39.08,47338,2441737
YY INC,YY US,174,127.50,17294,B7QNYP4
TAL EDUCATION GROUP,TAL US,764,53.21,75923,B4MGD82
XUNLEI LIMITED,XNET US,329,15.41,32655,B4KRJ56
21VIANET GROUP INC,VNET US,458,13.45,45548,B3Q0VS9
BITAUTO HOLDINGS LTD,BITA US,271,32.94,26900,B531ND8
500.COM LTD,WBAI US,238,19.12,23619,BGK07D3
CHINA UNICOM HONG KONG LTD,CHU US,1899,16.31,188646,2603496
PETROCHINA CO,PTR US,500,96.67,49689,2568841
VIPSHOP HOLDINGS LTD,VIPS US,1585,13.23,157451,B3N0H17
GDS HOLDINGS LTD,GDS US,288,54.23,28584,BD6FLL7
SINOPEC SHANGHAI PETROCHEMICAL CO LTD,SHI US,170,81.92,16905,2800059
JINKOSOLAR HOLDING CO LTD,JKS US,283,18.59,28109,B64H9N4
AUTOHOME INC,ATHM US,191,135.23,19015,BH5QGR0
JD.COM INC,JD US,1500,48.13,149000,BMM27D9
QUDIAN INC,QD US,383,10.75,38034,BF8FK89
NETEASE INC,NTES US,175,352.43,17356,2606440
EHI CAR SERVICES,EHIC US,315,16.88,31263,BSHZ3Z9
DAQO NEW ENERGY CORP,DQ US,93,50.25,9252,B953PM3
CHINA TELECOM CORP LTD,CHA US,472,59.83,46852,2026565
CHANGYOU.COM LTD,CYOU US,174,19.94,17292,B65R7B7
HUAZHU GROUP LIMITED,HTHT US,417,53.69,41457,BFMFKK7
FANG HOLDINGS LIMITED,SFUN US,1278,4.76,127018,BYQ7J61
ALIBABA GROUP HOLDING,BABA US,885,258.08,87908,BP41ZD1
BRIGHT SCHOLAR EDUCATION HOLDINGS LTD,BEDU US,251,21.12,24954,BYP7939
SEMICONDUCTOR MANUFACT INTERNATNL CO,SMI US,2624,8.37,260714,2429409
CHINA PETROLEUM & CHEMICAL CORP,SNP US,535,123.45,53180,2639189
58.COM INC,WUBA US,295,91.12,29350,BG3GS91
CNOOC LTD,CEO US,324,217.43,32190,2494764
CHINA MOBILE LTD,CHL US,1741,58.33,173015,2111375
CTRIP.COM INTERNATIONAL LTD,CTRP US,946,56.37,93939,2208987

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZCN,JH202,BMO S&P/TSX CAPPED COMPOSITE INDEX ETF,174308866,22.18051,0.0692,0,1.30355,0.05,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
METRO INC,MRU,234,42.95,408101,2583952
INTACT FINANCIAL CORP,IFC,135,95.67,235326,B04YJV1
ELEMENT FLEET MANAGEMENT,EFN,370,6.08,644742,B7FNMQ2
TURQUOISE HILL RES,TRQ,959,3.70,1671470,B7WJ1F5
CANADIAN NATIONAL RAILWAY CO,CNR,715,116.74,1245539,2180632
CANADIAN NATURAL RESOURCES LTD,CNQ,1061,47.06,1848860,2171573
INTERFOR CORP,IFP,63,21.17,110426,BMJ71W4
CENOVUS ENERGY INC,CVE,989,13.54,1724212,B57FG04
KINROSS GOLD CORP,K,1216,4.79,2118805,B03Z841
CANOPY GROWTH CORP,WEED,188,33.32,326893,BYTN3W0
BORALEX INC,BLX,56,19.80,97473,2099084
TRANSALTA CORP,TA,280,7.06,487755,2901628
AECON GROUP INC,ARE,57,15.14,99761,2699547
PEMBINA PIPELINE CORP,PPL,488,46.22,851239,B4PT2P8
COTT CORP,BCB,136,21.14,237172,2228952
CORUS ENTERTAINMENT INC,CJR/B,114,4.02,198962,2484516
GENWORTH MI CANADA INC,MIC,38,46.25,65663,B3NWJQ2
HUSKY ENERGY INC,HSE,293,20.65,511115,2623836
CHORUS AVIATION INC,CHR,133,7.39,231928,BD2C5N2
TMX GROUP LTD,X,35,84.82,60268,B8KH5G7
SHOPIFY INC,SHOP,90,226.55,157182,BX865C7
BOARDWALK REAL ESTATE INVT TR,BEI-U,36,45.32,62598,B011205
CELESTICA INC,CLS,118,15.94,205054,2263362
ATCO LTD,ACO/X,73,40.94,127267,2060615
TRICAN WELL SERVICE LTD,TCW,323,2.73,562729,2869964
LUCARA DIAMOND CORP,LUC,305,2.20,531734,2862565
TRANSALTA RENEWABLES,RNW,114,11.91,199576,BCZLSL8
FIRST CAP RLTY INC,FCR,160,19.82,278050,2185596
SHAW COMMUNICATIONS INC,SJR/B,425,26.31,740028,2801836
YAMANA GOLD INC,YRI,923,3.67,1608461,2219279
AURORA CANNABIS INC,ACB,497,6.94,865879,BTGWJY9
ENERCARE INC,ECI,104,18.51,181036,B3M62G6
BANK OF MONTREAL,BMO,621,103.86,1083150,2076009
AIR CANADA INC,AC,265,22.40,462220,BSDHYK1
SAPUTO INC,SAP,215,43.07,374501,2112226
MARTINREA INTERNATIONAL INC,MRE,84,13.44,147055,2107620
INNERGEX RENEWABLE ENERGY INC,INE,108,13.44,188744,B29TNV3
FORTUNA SILVER MINES INC,FVI,156,7.37,271769,2383033
VERMILION ENERGY INC,VET,146,47.62,255344,B607XS1
METHANEX CORP,MX,80,91.22,139314,2654416
IMPERIAL OIL LTD,IMO,240,43.33,418728,2454241
EXTENDICARE INC,EXE,86,7.15,149123,B86RZZ0
SPIN MASTER CORP,TOY,24,56.67,41486,BZ03B55
PARKLAND FUEL CORP,PKI,128,34.93,223519,B3SQRQ5
GREAT CANADIAN GAMING CORP,GC,56,46.38,98006,2380573
SEMAFO INC,SMF,318,3.75,554302,2795371
SSR MINING INC,SSRM,117,13.84,203943,BF7MPL9
MAPLE LEAF FOODS INC,MFI,78,32.49,135298,2555865
RESTAURANT BRANDS INTERNATIONAL INC,QSR,242,84.00,421343,BTF8CF0
ENDEAVOUR MINING CORP,EDV,73,23.67,127575,BDGN4L2
COMPUTER MODELLING GROUP LTD,CMG,78,9.81,136459,2223355
CROMBIE REAL ESTATE INVESTMENT TRUST,CRR-U,86,13.06,150321,B11YBV5
FRANCO NEVADA CORP,FNV,180,95.32,314551,B29NF31
GRANITE REAL ESTATE INVESTMENT TRUST,GRT-U,44,53.49,77469,B9GS088
FINNING INTERNATIONAL INC,FTT,164,32.18,285441,2339177
FORTIS INC,FTS,410,42.27,715298,2347200
ALIMENTATION COUCHE-TARD INC,ATD/B,419,59.67,730726,2011646
NATIONAL BANK OF CANADA,NA,329,63.59,573764,2077303
KIRKLAND LAKE GOLD LTD,KL,185,28.97,322210,BD4G349
WASTE CONNECTIONS INC,WCN,256,101.93,445495,BYQFRK5
HYDRO ONE INC,H,284,19.12,495070,BYYXJY9
OSISKO GOLD ROYALTIES,OR,120,12.62,209209,BN60CQ4
TRANSCONTINENTAL INC,TCL/A,72,30.90,124914,2357953
CCL INDUSTRIES INC,CCL/B,140,66.30,243248,2159795
FIRST MAJESTIC SILVER CORP,FR,163,8.71,284728,2833583
CES ENERGY SOLUTIONS CORP,CEU,234,4.46,407734,BZ57CN7
Killam Aptment Real Est Invest Trust,KMP-U,79,15.26,137223,BYZ1856
NORTHVIEW APT REAL ESTATE INVT TR,NVU-U,51,26.61,88956,BYZGBB8
CENTERRA GOLD INC,CG,207,5.84,361053,B01NXQ4
BROOKFIELD INFRASTRUCTURE PARTNERS LP,BIP-U,268,53.20,467811,B2NR6V4
SHAWCOR LTD,SCL,68,25.64,119034,B9M2YJ3
THOMSON REUTERS CORP,TRI,255,54.78,445159,2889371
BROOKFIELD RENEWABLE PARTNERS LP,BEP-U,119,39.60,208028,B712JY0
NORTH WEST CO INC,NWC,47,29.89,82532,BZ3FZR8
BIRCHCLIFF ENERGY LTD,BIR,216,5.15,376097,B0B55N1
SIENNA SENIOR LIVING INC,SIA,64,16.55,111548,BWTYXH4
ALAMOS GOLD INC,AGI,378,7.41,659680,BZ3DNP6
RIOCAN REAL ESTATE INVESTMENT TRUST,REI-U,308,24.82,537597,2229610
DREAM OFFICE REAL,D-U,54,23.84,94789,BMJJVS6
CAMECO CORP,CCO,385,14.26,670937,2166160
WSP GLOBAL INC,WSP,63,68.96,109120,BHR3R21
ALLIED PPTYS REAL ESTATE INVT,AP-U,97,42.74,169934,2387701
NFI GROUP INC,NFI,52,48.46,90712,BD3HFC5
PEYTO EXPLORATION & DEVELOPMENT CORP,PEY,160,10.94,279484,B6775F5
MANULIFE FINANCIAL CORP,MFC,1924,23.89,3353055,2492519
WESTSHORE TERMINALS INVESTMENT CORP,WTE,48,24.09,83720,B8KB138
DREAM GLOBAL REIT,DRG-U,186,14.11,323445,BMJ71D5
ARTIS REAL ESTATE INVESTMENT TRUST,AX-U,150,12.77,260700,B0XZXV3
TECK RESOURCES LTD,TECK/B,488,32.59,851485,2879327
MORNEAU SHEPELL INC,MSI,52,27.75,91284,B64ZLH6
NOVAGOLD RESOURCES INC,NG,214,5.87,373136,2135450
FREEHOLD ROYALTIES LTD,FRU,90,12.26,156972,B3SJKB0
LINAMAR CORP,LNR,44,55.33,77526,2516022
SUPERIOR PLUS CORP,SPB,170,12.71,295543,B3KTPS0
NEW GOLD INC,NGD,564,2.38,983016,2826947
CI FINANCIAL CORP,CIX,263,23.11,458582,B3KT0S5
MITEL NETWORKS CORP,MNW,98,14.28,171275,B8184B7
MEG ENERGY CORP,MEG,220,8.64,383859,B4XF9J1
RUSSEL METALS INC,RUS,60,27.04,105045,2248808
FAIRFAX FINANCIAL HOLDINGS LTD,FFH,27,719.01,47130,2566351
CINEPLEX INC,CGX,62,28.64,107352,B682FM6
TORC OIL & GAS LTD,TOG,147,7.74,255834,BDV82P2
THE STARS GROUP INC,TSGI,169,49.07,294591,BDG1MJ0
ARC RESOURCES LTD,ARX,344,15.42,599663,B6463M8
BAYTEX ENERGY CORP,BTE,229,4.31,399393,B4VGVM3
